source_url,review,shop_name,rating
https://www.google.com/maps/place/Delanghe+Engie+-+Telenet+Waregem/data=!4m7!3m6!1s0x47c315f097e6b031:0xea2b3b0514a8a900!8m2!3d50.889815!4d3.4294755!16s%2Fg%2F11crzw9_8l!19sChIJMbDml_AVw0cRAKmoFAU7K-o?authuser=0&hl=en&rclk=1,302,Delanghe Engie - Telenet Waregem,4
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c3c3822a95b1d7:0xfb5d580718f7a29!8m2!3d50.854536!4d4.3579242!16s%2Fg%2F1tkc5vmz!19sChIJ17GVKoLDw0cRKXqPcYDVtQ8?authuser=0&hl=en&rclk=1,245,Orange,3.1
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c3f13a847976c3:0x7fd3e174b198f329!8m2!3d51.170343!4d4.393257!16s%2Fg%2F11bywl3v16!19sChIJw3Z5hDrxw0cRKfOYsXTh038?authuser=0&hl=en&rclk=1,387,Orange,3.5
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c3dc9e479966eb:0x6d06af362bd7d853!8m2!3d50.844621!4d4.437103!16s%2Fg%2F12ll56_tr!19sChIJ62aZR57cw0cRU9jXKzavBm0?authuser=0&hl=en&rclk=1,173,Orange,3.2
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c38e821e26cb3f:0x48840eea40b03062!8m2!3d51.1536342!4d4.1526949!16s%2Fg%2F12cp188hl!19sChIJP8smHoKOw0cRYjCwQOoOhEg?authuser=0&hl=en&rclk=1,382,Orange,3.6
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c3c169c9c1023f:0xc9a9d9c2414387eb!8m2!3d50.871929!4d4.295662!16s%2Fg%2F1hdzpc4z_!19sChIJPwLByWnBw0cR64dDQcLZqck?authuser=0&hl=en&rclk=1,162,Orange,3.2
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c3f7019ba862d5:0x751b7a1e52f33f24!8m2!3d51.2174891!4d4.4173415!16s%2Fg%2F1tj2h17t!19sChIJ1WKomwH3w0cRJD_zUh56G3U?authuser=0&hl=en&rclk=1,292,Orange,3.5
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c3c487d517b5bf:0x51dccc7a41939bc!8m2!3d50.8373982!4d4.3622742!16s%2Fg%2F1hdz0w010!19sChIJv7UX1YfEw0cRvDkZpMfMHQU?authuser=0&hl=en&rclk=1,204,Orange,3.1
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c3c6b9e958e463:0x81d6ff778070fec!8m2!3d50.8387823!4d4.2870944!16s%2Fg%2F12hlmn8f7!19sChIJY-RY6bnGw0cR7A8HePdvHQg?authuser=0&hl=en&rclk=1,215,Orange,3.7
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c3f84c35dc9589:0x6967b410af579260!8m2!3d51.2222768!4d4.5018069!16s%2Fg%2F1hd_g7pfy!19sChIJiZXcNUz4w0cRYJJXrxC0Z2k?authuser=0&hl=en&rclk=1,389,Orange,3.5
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c3dcfcfa2ec003:0xfd07728d52867794!8m2!3d50.8748195!4d4.4145838!16s%2Fg%2F11bzx3d8l5!19sChIJA8Au-vzcw0cRlHeGUo1yB_0?authuser=0&hl=en&rclk=1,32,Orange,3.9
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c3d1d18d360963:0x7d9180f65f130f49!8m2!3d50.7154602!4d4.3988065!16s%2Fg%2F1pxwgdlz0!19sChIJYwk2jdHRw0cRSQ8TX_aAkX0?authuser=0&hl=en&rclk=1,276,Orange,3.7
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c121811ac61011:0x33548f843c5cb287!8m2!3d50.931128!4d5.33767!16s%2Fg%2F1trsx43z!19sChIJERDGGoEhwUcRh7JcPISPVDM?authuser=0&hl=en&rclk=1,372,Orange,3.6
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c0fa001afedbc3:0xbca706725ecb97e3!8m2!3d50.6320196!4d5.5800284!16s%2Fg%2F1hdzbn3hb!19sChIJw9v-GgD6wEcR45fLXnIGp7w?authuser=0&hl=en&rclk=1,252,Orange,3.1
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c22610bd3eb201:0x74437b91e9c1bca1!8m2!3d50.4175014!4d4.4577954!16s%2Fg%2F1hf1_37dm!19sChIJAbI-vRAmwkcRobzB6ZF7Q3Q?authuser=0&hl=en&rclk=1,390,Orange,3.7
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c227c91aa6ea0f:0x16adc5867c53b07a!8m2!3d50.4093733!4d4.4961603!16s%2Fg%2F1hf9_mw0q!19sChIJD-qmGsknwkcRerBTfIbFrRY?authuser=0&hl=en&rclk=1,178,Orange,2.9
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c2333b30ac310d:0x61661dea332c668e!8m2!3d50.5901322!4d4.3102341!16s%2Fg%2F1hdy_n826!19sChIJDTGsMDszwkcRjmYsM-odZmE?authuser=0&hl=en&rclk=1,333,Orange,3.5
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c33a569587943f:0xda7307d7021c5f73!8m2!3d50.845878!4d3.261482!16s%2Fg%2F11bc73_skp!19sChIJP5SHlVY6w0cRc18cAtcHc9o?authuser=0&hl=en&rclk=1,286,Orange,3.7
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c32874fc11f063:0x74ad8e22dacb4d69!8m2!3d50.68059!4d3.2195!16s%2Fg%2F1hc28_vx1!19sChIJY_AR_HQow0cRaU3L2iKOrXQ?authuser=0&hl=en&rclk=1,539,Orange,4.3
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c32f2a67b2bbb5:0xc7993054cc96f1e9!8m2!3d50.72289!4d3.15886!16s%2Fg%2F1q6n2tkp2!19sChIJtbuyZyovw0cR6fGWzFQwmcc?authuser=0&hl=en&rclk=1,352,Orange,4.2
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c2d636b820637b:0xf8dcdfdeffffce5c!8m2!3d50.61724!4d3.13015!16s%2Fg%2F119tfg_15!19sChIJe2MguDbWwkcRXM7__97f3Pg?authuser=0&hl=en&rclk=1,770,Orange,4
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c32e9c007e1e37:0x842451a361418a8b!8m2!3d50.73739!4d3.13488!16s%2Fg%2F11byl39y54!19sChIJNx5-AJwuw0cRi4pBYaNRJIQ?authuser=0&hl=en&rclk=1,381,Orange,4.1
